,label,animal_type,image_file
0,indian ringneck ,Bird,1633802583762_Indian Ringneck for sale.jpg
1,rottweiler puppy ,Dog,1633802583996_Rottweiler Puppy for sale.jpg
2,rabbit ,Rabbit,1633802584211_Rabbit for sale.jpg
3,cokatail bird ,Bird,1633802584412_Cokatail bird for sale.jpg
4,apple konda pigeon ,Bird,1633802584634_Apple Konda Pigeon for sale.jpg
5,racing homer pigeon ,Bird,1633802584820_Racing homer pigeon for sale.jpg
7,koi carf ,Fish,1633802585233_Koi carf for sale.jpg
8,white parrot fish ,Fish,1633802585380_White Parrot Fish for sale.jpg
9,sig sag eel ,Fish,1633802585555_Sig Sag Eel for sale.jpg
10,koi fish ,Fish,1633802585786_koi fish for sale.jpg
11,lovebird ,Bird,1633802585962_lovebird for sale.jpg
13,imported quality pug puppies ,Dog,1633802586330_Imported quality pug Puppies for sale.jpg
14,good timing ,Bird,1633802586535_good timing for sale.jpg
15,sunconer 08month old young pair ,Bird,1633802586690_sunconer 08month old young pair for sale.jpg
16,korali fish ,Fish,1633802586918_korali fish for sale.jpg
17,mosembic ,Fish,1633802587093_Mosembic for sale.jpg
19,terrier puppies ,Dog,1633802587490_terrier puppies for sale.jpg
20,pigeon ,Bird,1633802587675_pigeon for sale.jpg
22,fantail pigeons ,Bird,1633802588024_Fantail pigeons for sale.jpg
23,german sherperd long coat puppy ,Dog,1633802588214_german sherperd long coat puppy for sale.jpg
24,labrador male ,Dog,1633802588400_Labrador male for sale.jpg
25,oscar fish ,Fish,1633802588594_Oscar Fish for sale.jpg
26,labrador female puppies ,Dog,1633802588778_Labrador female puppies for sale.jpg
27,rottweiler puppies ,Dog,1633802607298_ROTTWEILER PUPPIES for sale.jpg
29,shrimp ,Fish,1633802607880_shrimp for sale.jpg
30,german shephard imported quality ckc registered pups ,Dog,1633802608111_GERMAN SHEPHARD imported quality ckc Registered pups for sale.jpg
31,flower horn ,Fish,1633802608326_flower horn for sale.jpg
32,green wing macaw baby ,Bird,1633802608519_Green wing macaw baby for sale.jpg
33,orange mask african love birds ,Bird,1633802608739_Orange Mask African Love Birds for sale.jpg
34,zebra fish ,Fish,1633802608930_zebra fish for sale.jpg
35,jambo king pigeon ,Bird,1633802609130_Jambo king pigeon for sale.jpg
36,germen sheperd ,Dog,1633802609309_germen sheperd for sale.jpg
38,red melon and powder blue ,Fish,1633802609693_Red Melon and Powder Blue for sale.jpg
39,long tail parrot nose ,Bird,1633802609889_Long tail parrot nose for sale.jpg
40,rabbit ,Rabbit,1633802610082_Rabbit for sale.jpg
42,parrot beak long tail ,Bird,1633802610385_Parrot Beak Long Tail for sale.jpg
43,marble catfish ,Fish,1633802610564_Marble Catfish for sale.jpg
44,green parrot ,Bird,1633802610773_Green Parrot for sale.jpg
45,lion pomeranian puppy ,Dog,1633802610956_Lion Pomeranian Puppy for sale.jpg
46,lion shepherd puppies ,Dog,1633802611145_Lion Shepherd Puppies for sale.jpg
47,koi carp fish ,Fish,1633802611346_Koi Carp Fish for sale.jpg
48,rabbits ,Rabbit,1633802611514_Rabbits for sale.jpg
49,breeding pigeon ,Bird,1633802611727_Breeding pigeon for sale.jpg
50,shamo rooster ,Bird,1633802611958_Shamo Rooster for sale.jpg
51,german shepherd puppies ,Dog,1633802612200_German Shepherd Puppies for sale.jpg
52,dachshund puppies ,Dog,1633802612561_Dachshund Puppies for sale.jpg
53,american bully male puppies ,Dog,1633802632053_American Bully Male Puppies for sale.jpg
54,labrador puppies ,Dog,1633802632231_Labrador Puppies for sale.jpg
55,lion german shepherd male ,Dog,1633802632400_Lion German Shepherd Male for sale.jpg
56,pigeons ,Bird,1633802632607_Pigeons for sale.jpg
57,cockatiel birds ,Bird,1633802632770_Cockatiel Birds for sale.jpg
59,pineapple conure bird ,Bird,1633802633164_Pineapple conure bird for sale.jpg
